step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,37,98,99,0,75,75,0,2,-1
1,38,98,99,0,75,75,0,2,-1
2,39,98,99,0,75,75,0,2,-1
3,40,98,99,0,75,75,0,2,-1
4,41,98,99,0,75,75,0,2,-1
5,42,98,99,0,75,75,0,2,-1
6,43,98,99,0,75,75,0,2,-1
7,44,98,99,0,75,75,0,2,-1
8,45,98,99,0,75,75,0,2,-1
9,46,98,99,0,75,75,0,2,-1
10,47,98,99,0,75,75,0,2,-1
11,48,98,99,0,75,75,0,2,-1
12,49,98,99,0,75,75,0,2,-1
13,50,98,99,0,75,75,0,2,-1
14,51,98,99,0,75,75,0,2,-1
15,52,98,99,0,75,75,0,2,-1
16,53,98,99,0,75,75,0,2,-1
17,54,98,99,0,75,75,0,2,-1
18,55,98,99,0,75,75,0,2,-1
19,56,98,99,0,75,75,0,2,-1
20,57,98,99,0,75,75,0,2,-1
21,58,98,99,0,75,75,0,0,-1
22,58,97,99,0,75,75,0,2,-1
23,59,97,99,0,75,75,0,0,-1
24,59,96,99,0,75,75,0,2,-1
25,60,96,99,0,75,75,0,0,-1
26,60,95,99,0,75,75,0,0,-1
27,60,94,99,0,75,75,0,2,-1
28,61,94,99,0,75,75,0,0,-1
29,61,93,99,0,75,75,0,2,-1
30,62,93,99,0,75,75,0,0,-1
31,62,92,99,0,75,75,0,0,-1
32,62,91,99,0,75,75,0,0,-1
33,62,90,99,0,75,75,0,0,-1
34,62,89,99,0,75,75,0,0,-1
35,62,88,99,0,75,75,0,2,-1
36,63,88,99,0,75,75,0,2,-1
37,64,88,99,0,75,75,0,0,-1
38,64,87,99,0,75,75,0,2,-1
39,65,87,99,0,75,75,0,0,-1
40,65,86,99,0,75,75,0,0,-1
41,65,85,99,0,75,75,0,2,-1
42,66,85,99,0,75,75,0,0,-1
43,66,84,99,0,75,75,0,0,-1
44,66,83,99,0,75,75,0,0,-1
45,66,82,99,0,75,75,0,0,-1
46,66,81,99,0,75,75,0,0,-1
47,66,80,99,0,75,75,0,0,-1
48,66,79,99,0,75,75,0,0,-1
49,66,78,99,0,75,75,0,0,-1
50,66,77,99,0,75,75,0,0,-1
51,66,76,99,0,75,75,0,0,-1
52,66,75,99,0,75,75,0,0,-1
53,66,74,99,0,75,75,0,0,-1
54,66,73,99,0,75,75,0,0,-1
55,66,72,99,0,75,75,0,0,-1
56,66,71,99,0,75,75,0,0,-1
57,66,70,99,0,75,75,0,0,-1
58,66,69,99,0,75,75,0,0,-1
59,66,68,99,0,75,75,0,0,-1
60,66,67,99,0,75,75,0,0,-1
61,66,66,99,0,75,75,0,0,-1
62,66,65,99,0,75,75,0,0,-1
63,66,64,99,0,75,75,0,0,-1
64,66,63,99,0,75,75,0,0,-1
65,66,62,99,0,75,75,0,0,-1
66,66,61,99,0,75,75,0,0,-1
67,66,60,99,0,75,75,0,0,-1
68,66,59,99,0,75,75,0,0,-1
69,66,58,99,0,75,75,0,0,-1
70,66,57,99,0,75,75,0,0,-1
71,66,56,99,0,75,75,0,0,-1
72,66,55,99,0,75,75,0,0,-1
73,66,54,99,0,75,75,0,0,-1
74,66,53,99,0,75,75,0,0,-1
75,66,52,99,0,75,75,0,0,-1
76,66,51,99,0,75,75,0,0,-1
77,66,50,99,0,75,75,0,0,-1
78,66,49,99,0,75,75,0,0,-1
79,66,48,99,0,75,75,0,0,-1
80,66,47,99,0,75,75,0,0,-1
81,66,46,99,0,75,75,0,0,-1
82,66,45,99,0,75,75,0,0,-1
83,66,44,99,0,75,75,0,0,-1
84,66,43,99,0,75,75,0,0,-1
85,66,42,99,0,75,75,0,0,-1
86,66,41,99,0,75,75,0,0,-1
87,66,40,99,0,75,75,0,0,-1
88,66,39,99,0,75,75,0,0,-1
89,66,38,99,0,75,75,0,0,-1
90,66,37,99,0,75,75,0,0,-1
91,66,36,99,0,75,75,0,0,-1
92,66,35,99,0,75,75,0,0,-1
93,66,34,99,0,75,75,0,0,-1
94,66,33,99,0,75,75,0,0,-1
95,66,32,99,0,75,75,0,0,-1
96,66,31,99,0,75,75,0,0,-1
97,66,30,99,0,75,75,0,0,-1
98,66,29,99,0,75,75,0,0,-1
99,66,28,99,0,75,75,0,0,-1
100,66,27,99,0,75,75,0,0,-1
101,66,26,99,0,75,75,0,0,-1
102,66,25,99,0,75,75,0,0,-1
103,66,24,99,0,75,75,0,0,-1
104,66,23,99,0,75,75,0,0,-1
105,66,22,99,0,75,75,0,0,-1
106,66,21,99,0,75,75,0,0,-1
107,66,20,99,0,75,75,0,2,-1
108,67,20,99,0,75,75,0,0,-1
109,67,19,99,0,75,75,0,0,-1
110,67,18,99,0,75,75,0,0,-1
111,67,17,99,0,75,75,0,0,-1
