step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,80,42,25,25,75,75,0,3,-1
1,79,42,25,25,75,75,0,3,-1
2,78,42,25,25,75,75,0,3,-1
3,77,42,25,25,75,75,0,3,-1
4,76,42,25,25,75,75,0,3,-1
5,75,42,25,25,75,75,0,3,-1
6,74,42,25,25,75,75,0,3,-1
7,73,42,25,25,75,75,0,3,-1
8,72,42,25,25,75,75,0,3,-1
9,71,42,25,25,75,75,0,3,-1
10,70,42,25,25,75,75,0,3,-1
11,69,42,25,25,75,75,0,3,-1
12,68,42,25,25,75,75,0,3,-1
13,67,42,25,25,75,75,0,3,-1
14,66,42,25,25,75,75,0,3,-1
15,65,42,25,25,75,75,0,3,-1
16,64,42,25,25,75,75,0,3,-1
17,63,42,25,25,75,75,0,3,-1
18,62,42,25,25,75,75,0,3,-1
19,61,42,25,25,75,75,0,3,-1
20,60,42,25,25,75,75,0,3,-1
21,59,42,25,25,75,75,0,3,-1
22,58,42,25,25,75,75,0,3,-1
23,57,42,25,25,75,75,0,3,-1
24,56,42,25,25,75,75,0,3,-1
25,55,42,25,25,75,75,0,3,-1
26,54,42,25,25,75,75,0,3,-1
27,53,42,25,25,75,75,0,3,-1
28,52,42,25,25,75,75,0,3,-1
29,51,42,25,25,75,75,0,3,-1
30,50,42,25,25,75,75,0,3,-1
31,49,42,25,25,75,75,0,3,-1
32,48,42,25,25,75,75,0,0,-1
33,48,41,25,25,75,75,0,3,-1
34,47,41,25,25,75,75,0,3,-1
35,46,41,25,25,75,75,0,3,-1
36,45,41,25,25,75,75,0,3,-1
37,44,41,25,25,75,75,0,3,-1
38,43,41,25,25,75,75,0,3,-1
39,42,41,25,25,75,75,0,0,-1
40,42,40,25,25,75,75,0,3,-1
41,41,40,25,25,75,75,0,0,-1
42,41,39,25,25,75,75,0,3,-1
43,40,39,25,25,75,75,0,3,-1
44,39,39,25,25,75,75,0,3,-1
45,38,39,25,25,75,75,0,0,-1
46,38,38,25,25,75,75,0,3,-1
47,37,38,25,25,75,75,0,0,-1
48,37,37,25,25,75,75,0,3,-1
49,36,37,25,25,75,75,0,0,-1
50,36,36,25,25,75,75,0,3,-1
51,35,36,25,25,75,75,0,0,-1
52,35,35,25,25,75,75,0,3,-1
53,34,35,25,25,75,75,0,3,-1
54,33,35,25,25,75,75,0,3,-1
55,32,35,25,25,75,75,0,0,-1
56,32,34,25,25,75,75,0,3,-1
57,31,34,25,25,75,75,0,3,-1
58,30,34,25,25,75,75,0,3,-1
59,29,34,25,25,75,75,0,0,-1
60,29,33,25,25,75,75,0,3,-1
61,28,33,25,25,75,75,0,3,-1
62,27,33,25,25,75,75,0,0,-1
63,27,32,25,25,75,75,0,3,-1
64,26,32,25,25,75,75,0,3,-1
65,25,32,25,25,75,75,0,0,-1
66,25,31,25,25,75,75,0,3,-1
67,24,31,25,25,75,75,0,0,-1
68,24,30,25,25,75,75,0,0,-1
69,24,29,25,25,75,75,0,3,-1
70,23,29,25,25,75,75,0,1,-1
71,23,30,25,25,75,75,0,0,-1
72,23,29,25,25,75,75,0,1,-1
73,23,30,25,25,75,75,0,0,-1
74,23,29,25,25,75,75,0,1,-1
75,23,30,25,25,75,75,0,0,-1
76,23,29,25,25,75,75,0,1,-1
77,23,30,25,25,75,75,0,0,-1
78,23,29,25,25,75,75,0,1,-1
79,23,30,25,25,75,75,0,0,-1
80,23,29,25,25,75,75,0,1,-1
