episode,outcome,steps,total_reward,stuck_reason,log_path
1,stuck_repeat,61,-62.0,repeat>5,trace_logs/v2_run/trace_ep_001.csv
2,stuck_repeat,45,-46.0,repeat>5,trace_logs/v2_run/trace_ep_002.csv
3,stuck_repeat,138,-139.0,repeat>5,trace_logs/v2_run/trace_ep_003.csv
4,stuck_repeat,138,-139.0,repeat>5,trace_logs/v2_run/trace_ep_004.csv
5,stuck_repeat,52,-53.0,repeat>5,trace_logs/v2_run/trace_ep_005.csv
6,stuck_repeat,46,-47.0,repeat>5,trace_logs/v2_run/trace_ep_006.csv
7,stuck_repeat,95,-96.0,repeat>5,trace_logs/v2_run/trace_ep_007.csv
8,stuck_repeat,42,-43.0,repeat>5,trace_logs/v2_run/trace_ep_008.csv
9,stuck_repeat,121,-122.0,repeat>5,trace_logs/v2_run/trace_ep_009.csv
10,stuck_repeat,26,-27.0,repeat>5,trace_logs/v2_run/trace_ep_010.csv
11,stuck_repeat,123,-124.0,repeat>5,trace_logs/v2_run/trace_ep_011.csv
12,stuck_repeat,88,-89.0,repeat>5,trace_logs/v2_run/trace_ep_012.csv
13,stuck_repeat,56,-57.0,repeat>5,trace_logs/v2_run/trace_ep_013.csv
14,stuck_repeat,131,-132.0,repeat>5,trace_logs/v2_run/trace_ep_014.csv
15,stuck_repeat,88,-89.0,repeat>5,trace_logs/v2_run/trace_ep_015.csv
16,stuck_repeat,79,-80.0,repeat>5,trace_logs/v2_run/trace_ep_016.csv
17,stuck_repeat,47,-48.0,repeat>5,trace_logs/v2_run/trace_ep_017.csv
18,stuck_repeat,175,-176.0,repeat>5,trace_logs/v2_run/trace_ep_018.csv
19,stuck_repeat,109,-110.0,repeat>5,trace_logs/v2_run/trace_ep_019.csv
20,stuck_repeat,29,-30.0,repeat>5,trace_logs/v2_run/trace_ep_020.csv
21,stuck_repeat,71,-72.0,repeat>5,trace_logs/v2_run/trace_ep_021.csv
22,stuck_repeat,36,-37.0,repeat>5,trace_logs/v2_run/trace_ep_022.csv
23,stuck_repeat,121,-122.0,repeat>5,trace_logs/v2_run/trace_ep_023.csv
24,stuck_repeat,20,-21.0,repeat>5,trace_logs/v2_run/trace_ep_024.csv
25,stuck_repeat,158,-159.0,repeat>5,trace_logs/v2_run/trace_ep_025.csv
26,stuck_repeat,130,-131.0,repeat>5,trace_logs/v2_run/trace_ep_026.csv
27,stuck_repeat,100,-101.0,repeat>5,trace_logs/v2_run/trace_ep_027.csv
28,stuck_repeat,14,-15.0,repeat>5,trace_logs/v2_run/trace_ep_028.csv
29,stuck_repeat,109,-110.0,repeat>5,trace_logs/v2_run/trace_ep_029.csv
30,stuck_repeat,127,-128.0,repeat>5,trace_logs/v2_run/trace_ep_030.csv
31,stuck_repeat,156,-157.0,repeat>5,trace_logs/v2_run/trace_ep_031.csv
32,stuck_repeat,111,-112.0,repeat>5,trace_logs/v2_run/trace_ep_032.csv
33,stuck_repeat,196,-197.0,repeat>5,trace_logs/v2_run/trace_ep_033.csv
34,stuck_repeat,51,-52.0,repeat>5,trace_logs/v2_run/trace_ep_034.csv
35,stuck_repeat,100,-101.0,repeat>5,trace_logs/v2_run/trace_ep_035.csv
36,stuck_repeat,106,-107.0,repeat>5,trace_logs/v2_run/trace_ep_036.csv
37,stuck_repeat,64,-65.0,repeat>5,trace_logs/v2_run/trace_ep_037.csv
38,stuck_repeat,114,-115.0,repeat>5,trace_logs/v2_run/trace_ep_038.csv
39,stuck_repeat,131,-132.0,repeat>5,trace_logs/v2_run/trace_ep_039.csv
40,stuck_repeat,64,-65.0,repeat>5,trace_logs/v2_run/trace_ep_040.csv
41,stuck_repeat,96,-97.0,repeat>5,trace_logs/v2_run/trace_ep_041.csv
42,stuck_repeat,58,-59.0,repeat>5,trace_logs/v2_run/trace_ep_042.csv
43,stuck_repeat,74,-75.0,repeat>5,trace_logs/v2_run/trace_ep_043.csv
44,stuck_repeat,70,-71.0,repeat>5,trace_logs/v2_run/trace_ep_044.csv
45,stuck_repeat,63,-64.0,repeat>5,trace_logs/v2_run/trace_ep_045.csv
46,stuck_repeat,75,-76.0,repeat>5,trace_logs/v2_run/trace_ep_046.csv
47,stuck_repeat,45,-46.0,repeat>5,trace_logs/v2_run/trace_ep_047.csv
48,stuck_repeat,38,-39.0,repeat>5,trace_logs/v2_run/trace_ep_048.csv
49,stuck_repeat,149,-150.0,repeat>5,trace_logs/v2_run/trace_ep_049.csv
50,stuck_repeat,75,-76.0,repeat>5,trace_logs/v2_run/trace_ep_050.csv
