step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,80,58,25,25,99,99,0,0,-1
1,80,57,25,25,99,99,0,3,-1
2,79,57,25,25,99,99,0,3,-1
3,78,57,25,25,99,99,0,3,-1
4,77,57,25,25,99,99,0,3,-1
5,76,57,25,25,99,99,0,3,-1
6,75,57,25,25,99,99,0,3,-1
7,74,57,25,25,99,99,0,3,-1
8,73,57,25,25,99,99,0,3,-1
9,72,57,25,25,99,99,0,3,-1
10,71,57,25,25,99,99,0,3,-1
11,70,57,25,25,99,99,0,3,-1
12,69,57,25,25,99,99,0,3,-1
13,68,57,25,25,99,99,0,0,-1
14,68,56,25,25,99,99,0,0,-1
15,68,55,25,25,99,99,0,0,-1
16,68,54,25,25,99,99,0,0,-1
17,68,53,25,25,99,99,0,0,-1
18,68,52,25,25,99,99,0,0,-1
19,68,51,25,25,99,99,0,0,-1
20,68,50,25,25,99,99,0,0,-1
21,68,49,25,25,99,99,0,0,-1
22,68,48,25,25,99,99,0,0,-1
23,68,47,25,25,99,99,0,0,-1
24,68,46,25,25,99,99,0,0,-1
25,68,45,25,25,99,99,0,0,-1
26,68,44,25,25,99,99,0,0,-1
27,68,43,25,25,99,99,0,0,-1
28,68,42,25,25,99,99,0,0,-1
29,68,41,25,25,99,99,0,0,-1
30,68,40,25,25,99,99,0,0,-1
31,68,39,25,25,99,99,0,0,-1
32,68,38,25,25,99,99,0,0,-1
33,68,37,25,25,99,99,0,0,-1
34,68,36,25,25,99,99,0,0,-1
35,68,35,25,25,99,99,0,0,-1
36,68,34,25,25,99,99,0,0,-1
37,68,33,25,25,99,99,0,0,-1
38,68,32,25,25,99,99,0,0,-1
39,68,31,25,25,99,99,0,0,-1
40,68,30,25,25,99,99,0,0,-1
41,68,29,25,25,99,99,0,0,-1
42,68,28,25,25,99,99,0,0,-1
43,68,27,25,25,99,99,0,3,-1
44,67,27,25,25,99,99,0,3,-1
45,66,27,25,25,99,99,0,3,-1
46,65,27,25,25,99,99,0,3,-1
47,64,27,25,25,99,99,0,3,-1
48,63,27,25,25,99,99,0,3,-1
49,62,27,25,25,99,99,0,3,-1
50,61,27,25,25,99,99,0,3,-1
51,60,27,25,25,99,99,0,3,-1
52,59,27,25,25,99,99,0,3,-1
53,58,27,25,25,99,99,0,3,-1
54,57,27,25,25,99,99,0,3,-1
55,56,27,25,25,99,99,0,3,-1
56,55,27,25,25,99,99,0,3,-1
57,54,27,25,25,99,99,0,3,-1
58,53,27,25,25,99,99,0,3,-1
59,52,27,25,25,99,99,0,3,-1
60,51,27,25,25,99,99,0,3,-1
61,50,27,25,25,99,99,0,3,-1
62,49,27,25,25,99,99,0,3,-1
63,48,27,25,25,99,99,0,3,-1
64,47,27,25,25,99,99,0,3,-1
65,46,27,25,25,99,99,0,3,-1
66,45,27,25,25,99,99,0,3,-1
67,44,27,25,25,99,99,0,3,-1
68,43,27,25,25,99,99,0,3,-1
69,42,27,25,25,99,99,0,3,-1
70,41,27,25,25,99,99,0,3,-1
71,40,27,25,25,99,99,0,3,-1
72,39,27,25,25,99,99,0,3,-1
73,38,27,25,25,99,99,0,3,-1
74,37,27,25,25,99,99,0,3,-1
75,36,27,25,25,99,99,0,3,-1
76,35,27,25,25,99,99,0,3,-1
77,34,27,25,25,99,99,0,3,-1
78,33,27,25,25,99,99,0,3,-1
79,32,27,25,25,99,99,0,3,-1
80,31,27,25,25,99,99,0,3,-1
81,30,27,25,25,99,99,0,0,-1
82,30,26,25,25,99,99,0,3,-1
83,29,26,25,25,99,99,0,3,-1
84,28,26,25,25,99,99,0,3,-1
85,27,26,25,25,99,99,0,3,-1
86,26,26,25,25,99,99,0,0,-1
87,26,25,25,25,99,99,0,3,-1
88,25,25,25,25,99,99,0,3,-1
89,24,25,25,25,99,99,0,3,-1
90,23,25,25,25,99,99,0,1,-1
91,23,26,25,25,99,99,0,0,-1
92,23,25,25,25,99,99,0,1,-1
93,23,26,25,25,99,99,0,0,-1
94,23,25,25,25,99,99,0,1,-1
95,23,26,25,25,99,99,0,0,-1
96,23,25,25,25,99,99,0,1,-1
97,23,26,25,25,99,99,0,0,-1
98,23,25,25,25,99,99,0,1,-1
99,23,26,25,25,99,99,0,0,-1
100,23,25,25,25,99,99,0,1,-1
