step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,24,35,50,50,75,75,0,0,-1
1,24,34,50,50,75,75,0,0,-1
2,24,33,50,50,75,75,0,0,-1
3,24,32,50,50,75,75,0,0,-1
4,24,31,50,50,75,75,0,0,-1
5,24,30,50,50,75,75,0,0,-1
6,24,29,50,50,75,75,0,0,-1
7,24,28,50,50,75,75,0,0,-1
8,24,27,50,50,75,75,0,0,-1
9,24,26,50,50,75,75,0,0,-1
10,24,25,50,50,75,75,0,0,-1
11,24,24,50,50,75,75,0,0,-1
12,24,23,50,50,75,75,0,0,-1
13,24,22,50,50,75,75,0,0,-1
14,24,21,50,50,75,75,0,0,-1
15,24,20,50,50,75,75,0,0,-1
16,24,19,50,50,75,75,0,0,-1
17,24,18,50,50,75,75,0,0,-1
18,24,17,50,50,75,75,0,0,-1
19,24,16,50,50,75,75,0,0,-1
20,24,15,50,50,75,75,0,0,-1
21,24,14,50,50,75,75,0,0,-1
22,24,13,50,50,75,75,0,0,-1
23,24,12,50,50,75,75,0,0,-1
24,24,11,50,50,75,75,0,0,-1
25,24,10,50,50,75,75,0,0,-1
26,24,9,50,50,75,75,0,0,-1
27,24,8,50,50,75,75,0,0,-1
28,24,7,50,50,75,75,0,0,-1
29,24,6,50,50,75,75,0,0,-1
30,24,5,50,50,75,75,0,0,-1
31,24,4,50,50,75,75,0,0,-1
32,24,3,50,50,75,75,0,0,-1
33,24,2,50,50,75,75,0,0,-1
34,24,1,50,50,75,75,0,0,-1
35,24,0,50,50,75,75,0,0,-1
36,24,0,50,50,75,75,0,0,-1
37,24,0,50,50,75,75,0,0,-1
38,24,0,50,50,75,75,0,0,-1
39,24,0,50,50,75,75,0,0,-1
40,24,0,50,50,75,75,0,0,-1
# STUCK repeated_position,(24, 0, 0),40
